"usuario","op","co","ex","ag","ne","wordcount","categoria"
"3gerardpique","34.297953","28.148819","41.948819","29.370315","9.841575","37.0945","7"
"aguerosergiokun","44.986842","20.525865","37.938947","24.279098","10.362406","78.7970","7"
"albertochicote","41.733854","13.745417","38.999896","34.645521","8.836979","49.2604","4"
"AlejandroSanz","40.377154","15.377462","52.337538","31.082154","5.032231","80.4538","2"
"alfredocasero1","36.664677","19.642258","48.530806","31.138871","7.305968","47.0645","4"
"alo_oficial","33.531771","16.183958","43.211667","25.786667","11.930417","40.1354","7"
"andresiniesta8","31.851102","13.735591","47.182362","19.594331","6.905591","91.5197","7"
"andykusnetzoff","31.865118","16.588110","55.377559","36.258346","7.464646","66.2835","5"
"andyroddick","46.393488","25.451163","39.930310","16.658062","8.452791","145.1473","7"
"andy_murray","39.436667","26.135303","32.966288","32.291591","10.956591","177.5606","7"
"AngelAlessandra","52.750992","24.706565","41.698855","17.057176","8.279847","97.2901","3"
"antoniobanderas","41.328182","20.241212","39.173333","21.070505","7.823535","32.8788","1"
"aplusk","54.407727","26.992121","34.104318","18.771818","8.867197","125.3409","1"
"AvrilLavigne","47.610076","20.343788","39.439545","21.438409","8.865303","128.8561","2"
"BarackObama","39.435149","20.091791","41.479403","21.004104","13.806343","178.1866","8"
"BarRefaeli","48.617348","21.165758","43.617955","19.263258","5.176515","58.5833","3"
"Berto_Romero","40.073543","25.933386","44.194724","33.921417","8.781890","49.2756","4"
"BillGates","43.372920","24.363358","43.792263","21.067737","11.348613","201.0511","6"
"britneyspears","49.792403","19.214496","41.435581","16.433953","7.039767","109.6434","2"
"Buenafuente","30.020465","14.699612","44.299690","39.117984","5.910620","70.1395","4"
"CarlosAuryn","36.909459","23.628649","51.947297","34.687568","6.730270","38.1081","2"
"carmenelectra","50.594462","19.282538","41.383154","17.896538","11.225692","143.8231","3"
"Carrie_Br4dshaw","34.186667","14.967083","18.693542","9.682292","7.200208","5.0208","3"
"CasillasWorld","31.215455","17.506364","44.180909","32.870000","9.378182","87.8182","7"
"celinedion","47.276860","29.773140","41.973372","12.401860","7.285116","79.4186","2"
"cesarmillan","45.369773","23.932197","35.925909","23.478258","8.448409","159.7727","4"
"CFKArgentina","35.943438","22.848281","45.519531","28.021250","6.521172","75.5156","8"
"charliesheen","36.272348","15.037348","40.065152","28.706894","12.412500","122.7727","1"
"ChristianG_7","44.501603","17.857099","46.598931","29.535038","2.913206","26.6870","4"
"CindyCrawford","49.028308","22.510385","38.450462","19.791538","7.538000","111.8000","3"
"Clyburn","34.235923","33.397769","41.231615","14.153692","14.424923","185.4000","8"
