repoId,title,categories,stars
1,airbnb / javascript,completar,
2,kamranahmedse / developer-roadmap,Roadmap to becoming a web developer in 2019,85800
3,microsoft / vscode,Visual Studio Code,80855
4,torvalds / linux,Linux kernel source tree,78761
5,ytdl-org / youtube-dl,Command-line program to download videos from YouTube.com and other video sites,53909
6,30-seconds / 30-seconds-of-code,completar,
7,pallets / flask,The Python micro framework for building web applications,45781
8,chrislgarry / Apollo-11,completar,
9,josephmisiti / awesome-machine-learning,"A curated list of awesome Machine Learning frameworks, libraries and software",41192
10,django / django,The Web framework for perfectionists with deadlines,43347
11,psf / requests,,
12,tonsky / FiraCode,completar,
13,karan / Projects,completar,
14,python / cpython,The Python programming language,25924
15,Avik-Jain / 100-Days-Of-ML-Code,100 Days of ML Coding,24828
16,knsv / mermaid,Generation of diagram and flowchart from text in a similar manner as markdown,24396
17,tldr-pages / tldr,completar,
18,tuvtran / project-based-learning,Curated list of project-based tutorials,23000
19,ZuzooVn / machine-learning-for-software-engineers,A complete daily plan for studying to become a machine learning engineer,22264
20,getsentry / sentry,,
21,eventlet / eventlet,,
22,mongodb / pymodm,,
23,python / peps,,
24,ansible / ansible,Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy. Avoid writing scripts or custom code to deploy and update your applications,38469
25,servo / servo,,
26,google / grumpy,,
27,pallets / werkzeug,,
28,aalhour / awesome-compilers,,
29,urllib3 / urllib3,,
30,python-hyper / hyper,,
31,vmprof / vmprof-python,,
32,freeCodeCamp / freeCodeCamp,The https://www.freeCodeCamp.org open source codebase and curriculum. Learn to code for free together with millions of people.,304196
33,jwasham / coding-interview-university,A complete computer science study plan to become a software engineer,85188
34,vinta / awesome-python,"A curated list of awesome Python frameworks, libraries, software and resources",70800
35,keras-team / keras,Deep Learning for humans,43317
36,ossu / computer-science,🎓 Path to a free self-taught education in Computer Science!,42700
37,Kickball / awesome-selfhosted,,
38,open-guides / og-aws,,
39,terryum / awesome-deep-learning-papers,The most cited deep learning papers,19486
40,pypa / pipenv,,
41,veggiemonk / awesome-docker,,
42,encode / django-rest-framework,,
43,ChristosChristofidis / awesome-deep-learning,,
44,huge-success / sanic,,
45,kailashahirwar / cheatsheets-ai,,
46,Miserlou / Zappa,,
47,codelucas / newspaper,,
48,n1trux / awesome-sysadmin,A curated list of amazingly awesome open source sysadmin resources.,
49,aio-libs / aiohttp,Asynchronous HTTP client/server framework for asyncio and Python,
50,fchollet / deep-learning-with-python-notebooks,"Jupyter notebooks for the code samples of the book ""Deep Learning with Python""",
51,php / php-src,The PHP Interpreter,
52,aria2 / aria2,"aria2 is a lightweight multi-protocol & multi-source, cross platform download utility operated in command-line. It supports HTTP/HTTPS, FTP, SFTP, BitTorrent and Metalink.",
53,microsoft / dotnet,"This repo is the official home of .NET on GitHub. It's a great starting point to find many .NET OSS projects from Microsoft and the community, including many that are part of the .NET Foundation.",
54,radare / radare2,unix-like reverse engineering framework and commandline tools,
55,dbeaver / dbeaver,Free universal database tool and SQL client,
56,Pixelkit / PixelKit-Bootstrap-UI-Kits,Free UI Kits built on Bootstrap for any developer that wants to build a cool looking and functional website. Enjoy!,
57,kootenpv / whereami,Uses WiFi signals 📶 and machine learning to predict where you are,
58,aptana / studio3,This repository contains the code for core components of Aptana Studio 3.,
59,m4ll0k / Awesome-Hacking-Tools,Awesome Hacking Tools,
60,waleedka / hiddenlayer,"Neural network graphs and training metrics for PyTorch, Tensorflow, and Keras.",
61,scala / scala-lang,The Scala Website,
62,jbagnato / machine-learning,"Código Python, Jupyter Notebooks, archivos csv con ejemplos para los ejercicios del Blog aprendemachinelearning.com",48
63,tensorflow / tensorflow,An Open Source Machine Learning Framework for Everyone,132200
64,resume / resume.github.com,Resumes generated using the GitHub informations,
65,jtoy / awesome-tensorflow,TensorFlow - A curated list of dedicated resources http://tensorflow.org,
66,google / lovefield,"Lovefield is a relational database for web apps. Written in JavaScript, works cross-browser. Provides SQL-like APIs that are fast, safe, and easy to use.",
67,Featuretools / featuretools,An open source python framework for automated feature engineering,
68,samjabrahams / tensorflow-on-raspberry-pi,TensorFlow for Raspberry Pi,
69,RomelTorres / alpha_vantage,A python wrapper for Alpha Vantage API for financial data.,
70,DMTSource / daily-stock-forecast,Daily Stock Forecasts using Machine Learning & Python,
71,DieterReuter / workshop-raspberrypi-64bit-os,Workshop to build a 64bit Docker OS for the Raspberry Pi 3,
72,github / gitignore,A collection of useful .gitignore templates,75900
73,electron / electron,"Build cross-platform desktop apps with JavaScript, HTML, and CSS",42000
74,mtdvio / every-programmer-should-know,A collection of (mostly) technical things every software developer should know,39200
75,opencv / opencv,Open Source Computer Vision Library,37100
76,awesomedata / awesome-public-datasets,A topic-centric list of HQ open datasets. PR ☛☛☛,34400
77,google / material-design-lite,Material Design Components in HTML/CSS/JS,31350
78,pytorch / pytorch,Tensors and Dynamic neural networks in Python with strong GPU acceleration,30550
79,yangshun / tech-interview-handbook,💯 Materials to help you rock your next coding interview,29400
80,jakevdp / PythonDataScienceHandbook,Python Data Science Handbook: full text in Jupyter Notebooks,19275
