Review Title;Review Text;wordcount;titleSentiment;textSentiment;Star Rating;sentimentValue
Sin conexión;Hola desde hace algo más de un mes me pone sin conexión y no sale nada, antes me funcionaba correctamente.;23;negative;negative;1;-0.4863892549767946
faltan cosas;Han mejorado la apariencia pero no;20;negative;negative;1;-0.5861874727339228
Es muy buena lo recomiendo;Andres e puto amoooo;4;;negative;1;-0.6022402747857277
Version antigua;Me gustana mas la version anterior esta es mas complicada de usar hay gente cambiandosevpor esevmotivo gracias;17;;negative;1;-0.6162712056633162
Esta bien;Sin ser la biblia.... Esta bien;6;negative;negative;1;-0.6517836008462109
Buena;Nada del otro mundo pero han mejorado mucho;8;positive;negative;1;-0.7204429256151285
De gran ayuda;Lo malo q necesita de …,pero la app es muy buena;23;positive;negative;1;-0.7268254087888714
Muy buena;Estaba más acostumbrado al otro diseño, pero es cosa de acostunbrarse .. la aplicación es escépcional;16;positive;negative;1;-0.7367694709092752
Ta to guapa.;Va de escándalo;21;positive;negative;1;-0.765283702598727
Se han corregido;Han corregido muchos fallos pero el diseño es contrario al pedido por Google;13;negative;negative;1;-0.7979612300412889
Parece que va mejor.;No se cuelga tanto;4;positive;negative;1;-0.8334875979937725
Dice q hay una nueva versión?;Xq no me sale la opción de actualizarla entonces?;9;negative;negative;1;-0.8384665315151861
Útil;Falta opción;4;positive;negative;1;-0.8885590350462715
Me indica una nueva version;Dice que existe una nueva version, pero no sale actualizacion, e probado a borrarla y volver a instalarla, pero el mensaje sigue apareciendo;23;negative;negative;1;-1.002696144743075
No me funciona;Mui buena pero a veces no acen;14;negative;negative;1;-1.0832692852163408
Hay que mejorar;No funcionan las notificaciones, y deberían… Por lo demás correcto;20;positive;negative;1;-1.0981097654004746
Muy bien ..pero;…;26;negative;negative;1;-1.1044687905632284
No va;Pero esta bloqueado y no me funciona;7;positive;negative;1;-1.1122230773375148
Bien;No es precisa del todo;5;positive;negative;1;-1.2754114957137634
Bastante bien;Muy útil, pero hay …;22;positive;negative;1;-1.2860092681818858
Muy buena idea;Aun faltan muchos;13;positive;negative;1;-1.455639534574406
No remata...;En que se basa?...no termina de cuadrarme...;7;negative;negative;1;-1.4794328016280442
Note 3;Esta bien la aplicación pero se nota k....sin mas comentarios.;18;negative;negative;1;-1.4983055361035678
Es buena;No me deja;4;positive;negative;1;-1.780889062388097
Ya funciona;Errores corregidos.;2;positive;negative;1;-2.276469027404202
Sobre permisos;Permisos a tus fotos, llamadas, conexiones wifi, etc. No nos damos cuenta pero con toda la info. que compartimos con estas apk. Nos pueden quitar nuestra intimidad. Apk borrada.;29;positive;positive;1;0.10767141790243917
identificacion de user;Estaría bien que cada. Cuando tienes más de una no pone a cual corresponde y;30;negative;positive;2;-0.0626158036127862
Fantastica;Aunque todo es mejorable le doy estrellas por su enorme utilidad…;63;positive;positive;2;-0.06328214227918394
Ojo!;Lo tengo desde hace meses, pero en la actualización de hoy 1 de mayo de 2015 mi antiviruslo ha detectado como aplicación potencialmente peligrosa y lo he desinstalado.;33;negative;positive;2;-0.13013846864374606
Bastante útil y fácil de utilizar;Me ayuda bastante y la gente, a …;34;positive;positive;2;-0.2017099026902854
Buena app, pero;Buena app, pero…;76;;negative;2;-0.29519369790259514
Separar las islas!!!;Porfa separen …;34;negative;negative;2;-0.5529856995159401
vuelve a funcionar;Vuelve a funcionar como debe de ser. La tenemos que cuidar y actualizar todos. …;36;negative;negative;2;-0.6150217745307491
Demasiados feaute;A ver......tiene muchísimos ….no mola nada;63;negative;negative;2;-0.6422284312075216
Bien;Se podría mejorar haciendo uso del ,,,;45;positive;negative;2;-0.7478047635470271
Mucho que mejorar;La interfaz de usuario es pésima, no hay por donde cogerla. Lo ideal sería seguir Material Design de Google y no perder el tiempo con interfaces feas.;27;positive;negative;2;-0.769308686900702
No pude FINALIZAR!!!!;La APP no se cierra nunca. … Tengo que desinstalarla y reinstalarla cada vez que quiera usarla;32;negative;negative;2;-0.9501209717417881
No te hacen caso;No veo lógico ni competitivo ni de calidad…;103;negative;negative;2;-1.7072675742817744
Avitar;…;22;negative;positive;2;0.05284059831051055
Donde esta el Catalán;Con eso esta dicho todo. Y quede claro que no tengo nada contra el idioma de Cervantes (no como otros).;20;positive;positive;2;0.057927909239582936
Imprescindible;Desde que la tengo hace meses que no…;27;positive;positive;2;0.07377855452117438
Util;Funciona bien,…;9;;positive;3;-0.012039393687097305
vale la pena;A mi me … la encuentro genial.;13;positive;positive;3;-0.015018770703305123
Genial;Por lo menos …;15;positive;positive;3;-0.02203456782761065
Excelente;Te …mucho;3;positive;positive;3;-0.036155269731245915
Por fin algo bueno;Esto es lo que hacía falta;6;positive;positive;3;-0.0484385138839592
Fiable;Es fiable la aplicación ya lo e comprobado y la recomiendo solo q tarda…;20;positive;positive;3;-0.06175483455750447
Muy práctica;Interesante y funcional;3;positive;positive;3;-0.06548326036342844
Ahora ya funciona;Ahora ya funciona mejor pero la…;13;positive;positive;3;-0.0704406232354751
Muy Útil;Me ….;9;positive;positive;3;-0.07448342800403986
Oki;Mola;1;positive;positive;3;-0.08346704904653583
Mola;Mola;1;positive;positive;3;-0.08346704904653583
A por ellos;Hay que…;5;positive;positive;3;-0.08882448599132552
Muy buena;Mola mucho;2;positive;positive;3;-0.08963883232680414
Buena aplicacion;Buena ayuda para u;7;positive;positive;3;-0.09240115128518386
Fiable;Las notificaciones….;15;positive;positive;3;-0.09638654904084853
Su fin lo cumple;La aplicación es bastante buena para lo que es,;23;positive;positive;3;-0.10042182354190893
Muy buena;Ayuda mucho …;4;positive;positive;3;-0.10649843745783119
por la red;Hay veces que bien otras que t;9;positive;positive;3;-0.1074556652070253
Muy buena;Avisa de todo;3;positive;positive;3;-0.10775523999516728
Muy útil;Muy útil. Si vais a;8;positive;positive;3;-0.10814371461498165
Me gusta;Es una buena herramienta para…;10;;positive;3;-0.11096697038982636
relajada;Da gusto estar …;6;positive;positive;3;-0.11431720347482052
Muy util;…;3;positive;positive;3;-0.11613173926055574
La idea esta bien;Hecho en falta un interface;19;negative;positive;3;-0.13794345046074333
bien;B;1;positive;positive;3;-0.139860755685693
Esta muy bien.;.;1;positive;positive;3;-0.139860755685693
👍;😂👍;1;;positive;3;-0.139860755685693
Buenísima;A.,,;1;;positive;3;-0.139860755685693
Y;Ole;1;positive;positive;3;-0.17170072936267156
ES MUY BUENA;A…;1;positive;positive;3;-0.2130919859236215
Ahora va genial;Se han solucionado los problemas todo bien;7;positive;positive;3;-0.2274631454462939
Muy buena;Esta chevere;2;positive;positive;3;-0.23629542044756485
Es activa;Es activo e…;5;positive;positive;3;-0.24672980955038815
Me gusta;Vai moi ben.vestrelas;4;positive;positive;1;-0.2560262204901055
Parece que mejoró.;Ya parece que conecta.;4;negative;positive;3;-0.25611160754397866
Buena;Interfaz horrible pero con buenas aportaciones. Deberian incluir que;17;positive;positive;3;-0.2576389991643603
Si pero con mejoras;…;23;negative;negative;3;-0.30049061998663495
muy bueno;Cuabta más mejor;4;positive;negative;1;-0.31181988969029617
Muy bueno;…;13;positive;negative;1;-0.348732833470111
Le doy por ahora;Es buena app y muy aconsejable, pero mejorable no funciona la;12;negative;negative;1;-0.35579036269293624
Maravilloso;Para q no;6;positive;negative;1;-0.36533658725483215
Funcionaba pero;La año funcionaba perfectamente tras la tercera actualización no funciona en mi wiko rainbow;14;negative;negative;1;-0.3761207999456423
Una pena;La nueva versión … de la vaca.;7;;negative;1;-0.3968495101172904
Problema;Me funcionaba perfectamente, y era super util, ahora derrepente no funciona, me dice que hay un error. Probe a desinstalarlo e instalarlo de nuevo y nada.Es una pena;28;positive;negative;3;-0.40662337811518157
No functiona;Tenéis que ponerlo a punto;5;negative;negative;1;-0.43963932618471047
Muy practico;esta muy bien, si de…;23;positive;negative;3;-0.4467301899351924
Bien;Se actualiza la;7;positive;negative;1;-0.4656456056672159
Aplicación aceptable;Buena pero muy mejorable;4;negative;negative;1;-0.4661015340821958
No funciona bien y va muy lento;Fuera de mi casa sin wifi funciona fatal por eso estrellas y haber si arreglais las interferencias;18;negative;negative;1;-0.4937843434171307
Muy buena;Buenas tardes necesito saber como hago para que…;20;;positive;3;0.001545803154976988
diversos.;La nueva actualización, trae ;5;positive;positive;3;0.004819817714089875
buena arma;Muyyyyy util y beneficiosa;4;positive;positive;3;0.020339695161504356
Impresionante.;Han corregido errores y han conseguido una aplicación muy muy buena. Buen trabajo chavales, gracias y a seguir mejorando.;19;positive;positive;3;0.034394297057358386
Practica;Resulta practica y util, sobre todo en;17;positive;positive;3;0.0351123421389235
MUY BUENO!!!!;Facil para;12;positive;positive;3;0.0398963636518567
Siempre;Siempre es mejorable;3;positive;positive;3;0.042368593546182276
Perfecto;Ole las buenas aplicaciones para ;9;positive;positive;3;0.04847532327064269
Actualización arreglada;Ya funciona correctamente de nuevo;5;positive;positive;3;0.06669354795085583
Buena;La han reparado y funciona bien;6;positive;positive;3;0.07815662120106984
Excelente y muy buena;Sigan así;2;positive;positive;3;0.08126441115899682
Buena App;Muy util para;18;positive;positive;3;0.10467416228013082
Buena aplicación;Sitio donde ;4;;positive;3;0.12512618262801434
Hay que hacerla sencillas de usar;Falta desarrollo pero es buena sin duda. Si funcionara con el de;15;positive;positive;3;0.13208709472507923
Va muy bien;Fenomenal para;5;positive;positive;3;0.1362066817120937
Útil...;Funciona bien..un 9 .;4;;positive;3;0.13688160628659302
Bien;Bien;1;positive;positive;3;0.15190035179953837
Buena;…;1;positive;positive;3;0.1531406057644038
Gran aplicación;Te tiene al;6;positive;positive;3;0.15743590695210297
Perfecto;Hace lo que dice, va bien;6;positive;positive;3;0.1606161692201734
Muy precisa;Correcta en sus puntos;4;positive;positive;3;0.17065059065492616
Ayuda;Falta precisar;16;positive;positive;3;0.19001489537875332
es maravillosa;si todo el;12;positive;positive;3;0.20119861104954473
Esta muy bien;Sobre todo para los que;9;positive;positive;3;0.21267373358731967
Muy practico;Mientras nos tomemos;11;positive;positive;3;0.2182298800874059
Interesante y eficaz;Vale la pena descargarla;4;positive;positive;3;0.23771686243040357
Increíble;…;8;positive;positive;3;0.238395932002064
Espero que;Espero que con esta nueva actualización vuelva a sus origenes. Recomendable;11;positive;positive;3;0.24471265082844584
estupendo ya corregido;mejor que las que e privado;6;positive;positive;3;0.2468685639154956
